drg_id,provider_state,total_discharges,avg_covered_charges,avg_total_payments
065,SC,2026,28773.84,7459.82
065,SD,324,21591.43,8163.78
065,TN,2938,25623.99,6992.91
065,TX,7675,36171.49,7673.55
065,UT,362,20658.25,7526.21
065,VA,3388,23909.12,7313.57
065,VT,159,18482.98,9932.31
065,WA,1961,27759.01,8156.60
065,WI,1801,23074.41,7742.65
065,WV,903,17560.25,7264.81
065,WY,98,21980.11,9457.54
066,AK,84,26972.99,8771.51
066,AL,1181,22401.33,4740.41
066,AR,759,15027.87,4812.82
066,AZ,877,25621.18,5720.73
066,CA,3723,42437.58,6977.74
066,CO,478,25219.94,5188.95
066,CT,801,21951.57,6692.30
066,DC,209,31374.76,7914.60
066,DE,296,15938.23,5998.98
066,FL,4207,28579.88,5182.50
066,GA,1510,20289.33,5383.17
066,HI,194,21613.61,7830.51
066,IA,565,17007.19,5212.72
066,ID,182,14159.87,5344.88
066,IL,2723,24631.61,5881.79
066,IN,1561,18349.84,5187.57
066,KS,426,22692.42,5073.14
066,KY,1177,20791.20,5318.53
066,LA,909,19215.39,5315.25
066,MA,1359,17698.65,6527.84
066,MD,1476,8179.08,7719.62
066,ME,205,13016.43,5469.30
066,MI,1977,16036.83,5842.37
066,MN,771,19632.98,5922.46
066,MO,1557,20660.44,5230.50
066,MS,868,19515.35,4962.89
066,MT,165,12348.27,5202.78
066,NC,2321,16935.80,5642.05
066,ND,152,11534.46,5275.93
066,NE,331,18931.50,5652.20
066,NH,256,19239.83,5831.39
066,NJ,1907,45063.44,6173.47
066,NM,208,19189.77,6262.37
066,NV,349,34627.66,6159.72
066,NY,2856,24933.16,7235.13
066,OH,2148,20677.39,5285.82
066,OK,715,19019.23,5138.67
066,OR,425,15265.19,6049.76
066,PA,2665,28288.35,5649.19
066,RI,141,21224.76,6623.31
066,SC,1053,21828.95,5374.49
066,SD,166,15905.22,5658.05
066,TN,1422,19590.28,5006.76
066,TX,3895,28468.34,5476.28
066,UT,194,15445.79,5448.76
066,VA,1843,19083.60,5409.25
066,VT,103,16030.68,7282.03
066,WA,1185,22533.39,5833.23
066,WI,767,17646.47,5553.18
066,WV,477,13951.30,5202.69
066,WY,30,17349.57,6221.00
069,AK,31,20937.84,7434.71
069,AL,1393,20202.97,4262.90
069,AR,721,13440.09,4329.69
069,AZ,1344,24303.55,4906.96
069,CA,4441,37395.66,6119.99
069,CO,687,22198.69,4659.78
069,CT,1216,18400.77,5864.04
069,DC,152,19864.20,6129.62
069,DE,345,14292.40,5359.68
069,FL,7270,27165.73,4596.14
069,GA,1900,19752.72,4796.15
069,HI,34,19865.65,6511.79
069,IA,445,14840.36,4556.71
069,ID,130,12151.47,4606.10
069,IL,4574,21919.71,5050.28
069,IN,1960,16717.20,4615.75
069,KS,528,21234.59,4367.14
069,KY,1901,16834.26,4576.53
069,LA,956,19102.65,4575.88
069,MA,1888,13501.47,5542.27
069,MD,2481,6892.10,6493.06
069,ME,263,12012.92,4818.49
069,MI,3940,13892.40,5129.31
069,MN,720,16436.42,5231.71
069,MO,1939,18689.91,4600.55
069,MS,918,19311.52,4512.60
069,MT,85,11917.18,4911.15
069,NC,2833,15482.40,4882.06
069,ND,76,11941.24,5280.72
069,NE,350,17520.60,4792.17
069,NH,217,15366.98,4884.30
069,NJ,4080,40887.72,5447.33
069,NM,230,18905.90,5099.54
069,NV,454,32516.61,5044.43
069,NY,5789,20693.02,6227.34
069,OH,3382,18107.08,4578.85
069,OK,1145,16880.53,4498.35
069,OR,248,13826.34,5399.17
069,PA,4361,24723.46,4885.05
069,RI,183,18948.01,6095.34
069,SC,1241,20993.50,4757.57
069,SD,165,14243.01,5074.45
069,TN,1766,18326.78,4491.43
069,TX,5317,26817.05,4792.15
069,UT,121,14049.92,4955.04
069,VA,2583,16483.47,4621.49
069,VT,50,14194.60,6294.70
069,WA,1020,19711.20,5140.92
069,WI,863,17716.47,4975.37
069,WV,854,11701.03,4521.80
074,AL,469,26543.94,5603.89
074,AR,168,16498.00,5397.89
074,AZ,306,25250.71,5939.00
074,CA,1347,42162.00,7742.60
074,CO,145,23494.24,6192.09
074,CT,249,22541.89,7833.94
074,DC,83,24898.06,8621.66
074,DE,89,17240.52,6924.46
074,FL,1828,29396.29,5539.85
074,GA,478,20526.24,5772.28
074,IA,114,17918.68,6159.35
074,ID,30,14598.57,5414.87
074,IL,1370,24200.05,6684.52
074,IN,541,20300.59,5789.95
074,KS,150,23603.63,5434.52
074,KY,323,18517.82,5528.09
074,LA,304,22587.63,5876.39
074,MA,798,15171.49,7206.22
074,MD,739,8359.94,7881.16
074,ME,94,14192.21,5639.79
074,MI,1204,16213.00,6408.33
074,MN,212,21404.20,6610.63
074,MO,614,21313.51,5847.50
074,MS,309,25878.95,5717.89
074,MT,26,10017.85,5497.12
074,NC,949,18343.07,6342.55
074,ND,22,12602.27,7058.68
074,NE,47,26232.38,6054.85
074,NH,55,14762.93,5660.95
074,NJ,922,42421.31,6579.00
074,NM,34,19453.24,5565.03
074,NV,95,44286.43,5985.45
074,NY,1533,26465.13,8209.68
074,OH,1098,18916.82,5791.26
074,OK,230,27195.70,5852.51
074,OR,26,20714.50,5967.12
074,PA,1094,39486.28,6702.81
074,RI,65,20271.09,7514.40
074,SC,307,26048.03,6134.00
074,SD,48,21860.73,6862.27
074,TN,545,25831.31,5848.84
074,TX,1396,29821.95,6497.99
074,UT,13,32920.08,9394.85
074,VA,549,19316.78,5894.08
074,VT,19,20524.68,8488.89
074,WA,238,24130.94,6371.74
074,WI,217,18946.27,6630.45
074,WV,167,13125.99,5342.46
101,AK,39,22887.49,7828.67
101,AL,960,19441.83,4701.60
101,AR,410,14719.14,4754.43
101,AZ,729,24273.90,5736.02
101,CA,2822,38638.49,6929.67
101,CO,434,25232.24,5628.05
101,CT,640,20329.19,6537.94
101,DC,170,26780.81,7792.00
101,DE,150,14049.75,5619.85
101,FL,4068,25327.34,5013.87
101,GA,1190,19682.65,5153.04
101,HI,37,21346.81,7897.30
101,IA,350,14182.91,5363.07
101,ID,58,18470.50,5309.55
101,IL,2890,20445.59,5661.29
101,IN,1062,15291.11,5037.15
101,KS,327,21637.17,4797.67
101,KY,921,15499.30,5115.02
101,LA,621,17381.47,4810.82
101,MA,1816,14163.56,6347.51
101,MD,1473,7873.28,7427.44
101,ME,134,12872.18,5267.65
101,MI,2452,13979.17,5667.73
101,MN,717,18335.30,5896.30
101,MO,1376,17972.40,4979.44
101,MS,570,19376.69,4760.60
101,MT,56,12693.79,4873.73
101,NC,1462,16902.58,5528.71
101,ND,47,10320.53,5060.77
101,NE,243,17726.88,5261.37
101,NH,190,17277.77,6013.41
101,NJ,2311,44017.37,6078.46
101,NM,178,17791.85,5982.93
101,NV,414,32407.31,5663.08
101,NY,4503,24411.02,7633.64
101,OH,2067,20042.50,5259.49
101,OK,485,16659.88,4873.39
101,OR,116,16424.19,6742.10
101,PA,2363,28737.56,5717.42
101,RI,166,17838.61,6095.96
101,SC,747,21495.59,5183.04
101,SD,73,16902.93,5574.16
