provider_id,mr_h_a,lme_mr_h_a,ume_mr_h_a,num_p_mr_ha,mr_hf,lme_mr_hf,ume_mr_hf,num_p_mr_hf,mr_p,lme_mr_pn,ume_mr_pn,num_p_mr_pn,readm_ha,lreadma_ha,ureadma_ha,num_p_readm_ha,readma_hf,lreadmae_hf,ureadmae_hf,num_p_readma_hf,readma_pn,lreadma_pn,ureadma_pn,num_p_readma_pn
140083,,,,16,9.9,7.3,13.4,92,11.1,8.3,15,63,,,,7,27.3,22.9,32.2,113,20.5,16.5,24.6,64
140084,15.5,12.4,19.2,189,10.1,7.9,12.6,466,14.6,11.9,17.7,391,18.9,15.3,22.9,165,25.3,22.5,28.4,565,19.1,16.4,22.2,397
140088,14.3,10.9,18.6,126,11.7,9.2,14.5,371,11.2,8.4,14.8,123,20.4,16.9,24.4,162,26.7,23.8,29.7,560,20.3,16.6,24.2,143
140089,15.7,11.9,20.1,25,13.4,10.4,17,199,11.1,8.4,14.9,237,,,,19,22.4,18.9,26.7,216,17.2,13.9,21,231
140091,15,12.3,18.2,348,12.9,10.7,15.5,489,11.3,8.8,14.3,294,20.9,17.7,24.4,352,24.3,21.6,27.2,630,16.8,14.1,20.1,336
140093,14.5,11.8,17.7,155,13,10.7,15.6,435,12.7,10.1,15.7,311,21.2,17.5,25.3,122,26.8,23.6,30.1,512,22,18.5,25.4,323
140095,14.4,10.8,18.9,26,9.2,6.7,12.6,116,11,8.1,15,102,,,,17,24.5,20.7,29,144,19,15.4,23.4,100
140100,,,,,,,,4,,,,12,,,,,,,,4,,,,17
140101,16.6,13.1,20.6,128,11.9,9.4,14.9,316,13.9,11.2,17.3,378,18.5,15,22.5,114,24.9,21.5,28.5,352,20,17,23.1,407
140103,,,,21,10,7.6,13.1,189,12.7,9.8,16.4,169,,,,18,28.9,25.2,33,261,22.3,18.5,26.4,169
140110,17.3,13.2,22.1,29,12.7,9.7,16.5,150,13.4,10.7,16.8,334,,,,15,23.3,19.4,27.9,169,17.3,14.4,20.6,360
140113,14.6,11.5,17.9,168,11.4,9.2,14.2,362,12.6,10.1,15.9,234,19.9,16.6,23.6,245,25.2,22.2,28.6,470,19.2,16,22.8,258
140114,14,11.6,16.7,298,9.8,8.1,12.1,540,9,7.3,11,556,18,15.1,21.3,275,27.4,24.6,30.3,668,19.6,17.3,22.4,590
140115,15.8,11.9,20.7,25,9.6,7.1,13,122,10.7,7.5,14.9,74,,,,18,26.4,22.5,30.7,157,20.1,16.1,24.3,74
140116,13.3,10.7,16.4,316,11.5,9.4,14.1,535,11.8,9.7,14.5,459,21.6,18.3,24.7,412,27.9,24.8,31,659,20.8,18,23.8,509
140117,14.7,12.9,16.7,648,10.2,8.8,11.7,1140,9.9,8.2,11.9,626,19.7,17.4,22.3,629,26.6,24.2,28.8,1346,20.1,17.5,22.9,636
140118,14.2,11.2,17.8,139,8.8,7,11,569,10.3,7.9,13.4,262,25,20.7,29.5,137,27.8,25.2,30.5,795,21.9,18.3,25.5,271
140119,14.5,11.1,18.8,113,6.8,5.2,8.9,464,9.5,7.2,12.4,246,20.7,17,24.7,154,25.2,22.6,27.9,692,21.5,18.1,24.9,291
140120,15.4,12,19.5,62,13.7,10.7,17.4,191,13.8,11.2,17.3,347,20.7,16.5,25.4,53,27.2,23.3,31.3,220,18.6,15.7,22.2,357
140122,12.3,9.9,15.4,173,9.9,8.1,11.9,459,9.4,7.6,11.3,450,19.2,15.7,22.9,182,23.5,20.6,26.5,553,20.1,17.2,23.1,465
140124,15.5,11.5,20.9,49,9.8,6.9,13.5,144,10.9,7.4,15.9,72,21.7,17.2,27.2,52,25.9,21.7,30.5,175,19.5,15.4,24.6,82
140125,17.2,13.4,21.3,111,10.8,8,14.8,169,14.1,10.7,18.4,133,19,15.3,23.6,90,24.3,20.5,28.6,194,19.9,16.1,24.1,128
140127,14.3,11.2,17.9,186,14.3,11.5,17.5,327,14.2,11.3,17.7,320,18.9,15.4,22.7,192,23,19.9,26.6,401,15.8,12.9,19.3,321
140130,14.2,11,18.2,85,11.1,8.8,14.1,272,7.9,5.9,10.5,302,18.8,14.9,23.4,71,25.7,22.3,29.4,341,19,15.9,22.7,326
140133,16.5,13,20.6,137,11.4,9.2,14.1,375,11.7,9,14.9,202,20.8,17,25.2,93,27.1,23.9,30.6,454,20.8,17.4,24.7,203
140135,16.8,13.7,20.3,314,14,11.7,16.6,568,12.6,10.7,14.9,673,18.7,15.8,22.2,329,23.8,21.3,26.8,737,17.4,15.2,20,713
140137,,,,9,12.6,9.4,16.7,56,9.9,7,13.5,115,,,,9,24.5,20.2,29.4,67,17.4,13.8,21.6,123
140143,,,,17,11.5,8.7,14.8,199,13.4,10.8,16.7,258,,,,9,26.6,22.5,30.9,225,19,15.7,22.8,255
140145,,,,20,13.4,10.1,17.7,111,12.4,9.1,16.5,125,,,,17,24.4,20.5,29.2,130,19,15.4,23.4,134
140147,16.1,12.4,20.3,53,13.1,10.1,16.9,190,10.4,7.8,13.6,276,,,,22,26.5,22.4,30.7,210,19.9,16.7,23.7,285
140148,14.9,12.8,17.3,726,13.1,11.2,15.3,900,12.6,10.9,14.5,988,17.8,15.5,20.3,739,25,22.8,27.5,1081,17.6,15.7,19.7,1037
140150,15.9,11.9,21.1,58,10.1,7.3,13.7,182,10.3,7.4,13.7,159,20.8,17,25.4,72,27.1,23.3,31.2,268,19.6,16.2,23.4,195
